epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.258,1.05855,2.17195,1.2506,0.65255,0.59705,0.64604,0.43874,1.10101,1.28379,1.23213,0.000138446,0.000138446,0.000138446
2,255.535,1.15525,1.51524,1.32058,0.61683,0.58285,0.60475,0.37918,1.19209,1.38343,1.33148,0.000249979,0.000249979,0.000249979
3,300.878,1.22805,1.53681,1.37178,0.57892,0.55375,0.56788,0.35245,1.24484,1.51555,1.36183,0.00033399,0.00033399,0.00033399
4,345.57,1.22549,1.45332,1.38084,0.681,0.56863,0.63439,0.40424,1.2619,1.34946,1.36473,0.000293151,0.000293151,0.000293151
5,390.285,1.17903,1.32129,1.33351,0.74326,0.58029,0.66061,0.42755,1.21204,1.25916,1.32606,0.000251868,0.000251868,0.000251868
6,435,1.12036,1.19915,1.30037,0.7274,0.60774,0.67839,0.44745,1.17596,1.18367,1.29221,0.000210585,0.000210585,0.000210585
7,479.984,1.06508,1.09267,1.25317,0.74144,0.6435,0.70924,0.48131,1.13755,1.12919,1.26636,0.000169302,0.000169302,0.000169302
8,525.348,1.01984,0.97836,1.22357,0.76599,0.65901,0.73762,0.51049,1.09378,1.05104,1.23461,0.000128019,0.000128019,0.000128019
9,570.333,0.97336,0.87634,1.18728,0.77492,0.68816,0.75213,0.52816,1.0721,1.00617,1.21112,8.6736e-05,8.6736e-05,8.6736e-05
10,615.478,0.93519,0.82029,1.16196,0.76557,0.70251,0.76188,0.53867,1.05295,0.97548,1.19968,4.5453e-05,4.5453e-05,4.5453e-05
